algorithm,accuary,precision,recall,f1_score,precision_all,recall_all,f1_score_all,confusion_matrix
Naive Bayes,60.0,[58.92857143 75.          0.        ],[97.05882353 15.78947368  0.        ],[73.33333333 26.08695652  0.        ],57.14285714285714,60.0,49.81642512077294,"[[33  1  0]
 [16  3  0]
 [ 7  0  0]]"
Maquina de Soporte Vectorial,65.0,[ 63.26530612  70.         100.        ],[91.17647059 36.84210526 14.28571429],[74.69879518 48.27586207 25.        ],69.68367346938777,65.0,60.53334025758207,"[[31  3  0]
 [12  7  0]
 [ 6  0  1]]"
Decision Tree,50.0,[57.5 37.5 25. ],[67.64705882 31.57894737 14.28571429],[62.16216216 34.28571429 18.18181818],47.37499999999999,50.0,48.2035802035802,"[[23  8  3]
 [13  6  0]
 [ 4  2  1]]"
Maximun Entropy,63.33333333333333,[61.11111111 83.33333333  0.        ],[97.05882353 26.31578947  0.        ],[75. 40.  0.],61.018518518518526,63.33333333333333,55.16666666666665,"[[33  1  0]
 [14  5  0]
 [ 7  0  0]]"
