algorithm,accuary,precision,recall,f1_score,confusion_matrix
Naive Bayes,96.0,[ 0. 96.  0.],[  0. 100.   0.],[ 0.         97.95918367  0.        ],"[[  0   5   0]
 [  0 240   0]
 [  0   5   0]]"
Maquina de Soporte Vectorial,96.0,[ 0. 96.  0.],[  0. 100.   0.],[ 0.         97.95918367  0.        ],"[[  0   5   0]
 [  0 240   0]
 [  0   5   0]]"
Random Forest,94.4,[ 0.         95.93495935  0.        ],[ 0.         98.33333333  0.        ],[ 0.         97.11934156  0.        ],"[[  0   5   0]
 [  2 236   2]
 [  0   5   0]]"
Maximun Entropy,96.0,[ 0. 96.  0.],[  0. 100.   0.],[ 0.         97.95918367  0.        ],"[[  0   5   0]
 [  0 240   0]
 [  0   5   0]]"
